Ingrediente,Quantita,Unita di misura,Nome Piatto
 Riso soffiato,100,g,Barrette al riso soffiato e cioccolato
 Burro,20,g,Barrette al riso soffiato e cioccolato
 Fettuccine all'uovo,250,g,Fettuccine al tartufo
 Tartufo nero,80,g,Fettuccine al tartufo
 Aglio,1,spicchio,Fettuccine al tartufo
 Olio extravergine d'oliva,50,g,Fettuccine al tartufo
 Sale fino,qb,na,Fettuccine al tartufo
 Burro,40,g,Fettuccine al tartufo
 Riso Carnaroli,375,g,Riso al forno
 Passata di pomodoro,1,l,Riso al forno
 Fiordilatte,300,g,Riso al forno
 Parmigiano Reggiano DOP da grattugiare,150,g,Riso al forno
 Cipolle media,1,pezzi,Riso al forno
 Olio extravergine d'oliva,qb,na,Riso al forno
 Sale fino,qb,na,Riso al forno
 Pepe nero,qb,na,Riso al forno
 Basilico,7,foglie,Riso al forno
 Acqua,qb,na,Riso al forno
 Pappardelle all'uovo,250,g,Pappardelle con speck e funghi porcini
 Funghi porcini,500,g,Pappardelle con speck e funghi porcini
 Speck (2 fette spesse),150,g,Pappardelle con speck e funghi porcini
 Panna fresca liquida,50,g,Pappardelle con speck e funghi porcini
 Prezzemolo da tritare,qb,na,Pappardelle con speck e funghi porcini
 Aglio,1,spicchio,Pappardelle con speck e funghi porcini
 Pepe nero,qb,na,Pappardelle con speck e funghi porcini
 Olio extravergine d'oliva,40,g,Pappardelle con speck e funghi porcini
 Sale fino,qb,na,Pappardelle con speck e funghi porcini
 Fecola di patate,75,g,Torta di compleanno
 Farina 00,75,g,Torta di compleanno
 Sale fino,1,pizzico,Torta di compleanno
 Uova medie,5,pezzi,Torta di compleanno
 Zucchero,150,g,Torta di compleanno
 Cacao amaro in polvere,20,g,Torta di compleanno
 Panna fresca liquida,100,ml,Torta di compleanno
 Acqua,250,ml,Torta di compleanno
 Zucchero,125,g,Torta di compleanno
 Alchermes o altro aroma a scelta,qb,na,Torta di compleanno
 Panna fresca liquida,500,ml,Torta di compleanno
 Zucchero a velo,20,g,Torta di compleanno
 Burro,125,g,Quiche Lorraine
 Farina 00,250,g,Quiche Lorraine
 Uova (circa 1 medio),52,g,Quiche Lorraine
 Sale grosso,5,g,Quiche Lorraine
 Panna fresca liquida,450,g,Quiche Lorraine
 Pancetta (tesa) dolce,200,g,Quiche Lorraine
 Groviera (formaggio Gruyire),150,g,Quiche Lorraine
 Uova (circa 3 medie),165,g,Quiche Lorraine
 Tuorli (circa 1 medio),18,g,Quiche Lorraine
 Sale fino,qb,na,Quiche Lorraine
 Pepe nero,qb,na,Quiche Lorraine
 Noce moscata,qb,na,Quiche Lorraine
 Banane polpa di banane mature,140,g,Pancake alla banana
 Farina 00,250,g,Pancake alla banana
 Latte intero,250,g,Pancake alla banana
 Nocciole,80,g,Pancake alla banana
 Zucchero,30,g,Pancake alla banana
 Uova medio,1,pezzi,Pancake alla banana
 Burro,15,g,Pancake alla banana
 Sale fino,1,pizzico,Pancake alla banana
 Bicarbonato,05,Metti dell'ingrediente,Pancake alla banana
 Sciroppo di acero,qb,na,Pancake alla banana
 Granella di nocciole,qb,na,Pancake alla banana
 Banane (fettine per decorare),qb,na,Pancake alla banana
 Pesche,2,pezzi,Frullato di frutta
 Banane,2,pezzi,Frullato di frutta
 Fragole,200,g,Frullato di frutta
 Kiwi,2,pezzi,Frullato di frutta
 Latte intero,60,ml,Frullato di frutta
 Campari,30,ml,Negroni cocktail
 Gin,30,ml,Negroni cocktail
 Vermouth rosso,30,ml,Negroni cocktail
 Ghiaccio,qb,na,Negroni cocktail
 Farina 00,210,g,Cupcake alla Nutella
 Uova (circa 4),230,g,Cupcake alla Nutella
 Zucchero,165,g,Cupcake alla Nutella
 Nutella,80,g,Cupcake alla Nutella
 Burro,80,g,Cupcake alla Nutella
 Miele millefiori,40,g,Cupcake alla Nutella
 Cacao amaro in polvere,20,g,Cupcake alla Nutella
 Lievito in polvere per dolci,10,g,Cupcake alla Nutella
 Panna fresca liquida,360,g,Cupcake alla Nutella
 Nutella,40,g,Cupcake alla Nutella
 Zucchero a velo,35,g,Cupcake alla Nutella
 Baccello di vaniglia i semi,1,pezzi,Cupcake alla Nutella
 Granella di nocciole,qb,na,Cupcake alla Nutella
 Nutella,qb,na,Cupcake alla Nutella
 Farina 00,500,g,Pasticciotti
 Burro,250,g,Pasticciotti
 Tuorli,4,pezzi,Pasticciotti
 Baccello di vaniglia,1,pezzi,Pasticciotti
 Zucchero a velo,200,g,Pasticciotti
 Farina 00,50,g,Pasticciotti
 Latte,500,ml,Pasticciotti
 Tuorli,6,pezzi,Pasticciotti
 Baccello di vaniglia,1,pezzi,Pasticciotti
 Zucchero,150,g,Pasticciotti
 Amarene sciroppate,qb,na,Pasticciotti
 Tuorli,1,pezzi,Pasticciotti
 Panna fresca liquida,3,cucchiai,Pasticciotti
 Panna fresca liquida,500,g,Creme brulie
 Latte,125,g,Creme brulie
 Tuorli,8,pezzi,Creme brulie
 Zucchero,130,g,Creme brulie
 Baccello di vaniglia,1,pezzi,Creme brulie
 Zucchero,qb,na,Creme brulie
 Biscotti Digestive,255,g,Cheesecake cioccolato bianco e lamponi
 Burro,100,g,Cheesecake cioccolato bianco e lamponi
 Cioccolato fondente,100,g,Cheesecake cioccolato bianco e lamponi
 Ricotta vaccina,750,g,Cheesecake cioccolato bianco e lamponi
 Formaggio fresco spalmabile,250,g,Cheesecake cioccolato bianco e lamponi
 Cioccolato bianco,250,g,Cheesecake cioccolato bianco e lamponi
 Panna fresca liquida,150,g,Cheesecake cioccolato bianco e lamponi
 Zucchero a velo,50,g,Cheesecake cioccolato bianco e lamponi
 Gelatina,15,g,Cheesecake cioccolato bianco e lamponi
 Lamponi,300,g,Cheesecake cioccolato bianco e lamponi
 Zucchero a velo,20,g,Cheesecake cioccolato bianco e lamponi
 Lamponi,300,g,Cheesecake cioccolato bianco e lamponi
 Cioccolato bianco,100,g,Cheesecake cioccolato bianco e lamponi
 Burro morbido ma ancora plastico,200,g,Frolla Milano
 Miele di acacia,40,g,Frolla Milano
 Baccello di vaniglia,1,pezzi,Frolla Milano
 Zucchero a velo,75,g,Frolla Milano
 Tuorli,1,pezzi,Frolla Milano
 Acqua,4,g,Frolla Milano
 Sale fino,2,g,Frolla Milano
 Farina 00 debole,300,g,Frolla Milano
 Scorza di limone,05,Metti dell'ingrediente,Frolla Milano
 Farina 00,300,g,Biscotti semplici decorati
 Zucchero a velo,100,g,Biscotti semplici decorati
 Burro freddo,100,g,Biscotti semplici decorati
 Uova (circa 2 medie) fredde,110,g,Biscotti semplici decorati
 Scorza di limone,05,Metti dell'ingrediente,Biscotti semplici decorati
 Lievito in polvere per dolci,2,g,Biscotti semplici decorati
 Zucchero a velo,250,g,Biscotti semplici decorati
 Acqua a temperatura ambiente,40,g,Biscotti semplici decorati
 Coloranti alimentari,qb,na,Biscotti semplici decorati
 Penne Rigate,320,g,Penne ai peperoni
 Peperoni rossi,275,g,Penne ai peperoni
 Peperoni gialli,275,g,Penne ai peperoni
 Passata di pomodoro,200,g,Penne ai peperoni
 Basilico,qb,na,Penne ai peperoni
 Zucchero di canna,1,pizzico,Penne ai peperoni
 Cipolle bianche,80,g,Penne ai peperoni
 Sale fino,qb,na,Penne ai peperoni
 Pepe nero,qb,na,Penne ai peperoni
 Olio extravergine d'oliva,qb,na,Penne ai peperoni
 Spaghetti,320,g,Spaghetti con tonno e zucchine
 Zucchine,350,g,Spaghetti con tonno e zucchine
 Tonno sott'olio,320,g,Spaghetti con tonno e zucchine
 Olio extravergine d'oliva,20,g,Spaghetti con tonno e zucchine
 Aglio,1,spicchio,Spaghetti con tonno e zucchine
 Timo,2,rametti,Spaghetti con tonno e zucchine
 Olio di semi di arachide per friggere le zucchine,300,g,Spaghetti con tonno e zucchine
 Sale fino,qb,na,Spaghetti con tonno e zucchine
 Pepe nero,qb,na,Spaghetti con tonno e zucchine
 Cioccolato fondente al 70%,200,g,Mousse al cioccolato
 Panna fresca liquida,550,g,Mousse al cioccolato
 Tuorli (circa 10),160,g,Mousse al cioccolato
 Latte intero,100,g,Mousse al cioccolato
 Miele di acacia,20,g,Mousse al cioccolato
 Zucchero,300,g,Confettura di ciliegie
 Limoni,1,pezzi,Confettura di ciliegie
 Cioccolato fondente,95,g,Torta di compleanno estiva
 Uova medie,4,pezzi,Torta di compleanno estiva
 Burro,60,g,Torta di compleanno estiva
 Zucchero,120,g,Torta di compleanno estiva
 Farina 00,65,g,Torta di compleanno estiva
 Amido di mais (maizena),35,g,Torta di compleanno estiva
 Lievito in polvere per dolci,10,g,Torta di compleanno estiva
 Formaggio fresco spalmabile,400,g,Torta di compleanno estiva
 Panna fresca liquida,200,g,Torta di compleanno estiva
 Zucchero a velo,80,g,Torta di compleanno estiva
 Ciliegie,200,g,Torta di compleanno estiva
 lamponi),180,g,Torta di compleanno estiva
 Ciliegie,100,g,Torta di compleanno estiva
 Menta foglioline,qb,na,Torta di compleanno estiva
 Latte intero,400,g,Crema al latte
 Miele,05,Metti dell'ingrediente,Crema al latte
 Zucchero,80,g,Crema al latte
 Baccello di vaniglia,1,pezzi,Crema al latte
 Amido di mais (maizena),40,g,Crema al latte
 Panna fresca liquida,150,g,Crema al latte
 Farina 00,250,g,Plumcake bicolore
 Uova circa 2 grandi,124,g,Plumcake bicolore
 Cacao amaro in polvere,30,g,Plumcake bicolore
 Zucchero,150,g,Plumcake bicolore
 Olio di semi di girasole,70,g,Plumcake bicolore
 Latte intero,120,g,Plumcake bicolore
 Lievito in polvere per dolci,16,g,Plumcake bicolore
 Scorza d'arancia,1,Tutto l'ingrediente,Plumcake bicolore
 Uova (3 circa),170,g,Passatelli in brodo
 Pangrattato,120,g,Passatelli in brodo
 Parmigiano Reggiano DOP da grattugiare,120,g,Passatelli in brodo
 Scorza di limone,05,Metti dell'ingrediente,Passatelli in brodo
 Noce moscata,qb,na,Passatelli in brodo
 Sale fino,qb,na,Passatelli in brodo
 Brodo di carne,1,l,Passatelli in brodo
 Pasta Sfoglia rettangolare,230,g,Diplomatica
 Zucchero,150,g,Diplomatica
 Farina 00,75,g,Diplomatica
 Fecola di patate,75,g,Diplomatica
 Uova,5,pezzi,Diplomatica
 Baccello di vaniglia,1,pezzi,Diplomatica
 Sale fino,1,pizzico,Diplomatica
 Zucchero a velo per la sfoglia,qb,na,Diplomatica
 Latte intero,250,ml,Diplomatica
 Panna fresca liquida,180,ml,Diplomatica
 Zucchero,75,g,Diplomatica
 Farina 00,25,g,Diplomatica
 Zucchero a velo,20,g,Diplomatica
 Tuorli,3,pezzi,Diplomatica
 Baccello di vaniglia,05,Metti dell'ingrediente,Diplomatica
 Acqua,200,ml,Diplomatica
 Zucchero,100,g,Diplomatica
 Rum,20,ml,Diplomatica
 Zucchero a velo,qb,na,Diplomatica
 Orecchiette,320,g,Orecchiette broccoli e salsiccia
 Broccoli,300,g,Orecchiette broccoli e salsiccia
 Salsiccia,300,g,Orecchiette broccoli e salsiccia
 Vino bianco,40,g,Orecchiette broccoli e salsiccia
 Aglio,1,spicchio,Orecchiette broccoli e salsiccia
 Timo,2,rametti,Orecchiette broccoli e salsiccia
 Rosmarino,1,rametto,Orecchiette broccoli e salsiccia
 Olio extravergine d'oliva,30,g,Orecchiette broccoli e salsiccia
 Pepe nero,qb,na,Orecchiette broccoli e salsiccia
 Sale fino,qb,na,Orecchiette broccoli e salsiccia
 Cioccolato fondente,340,g,Torta al cioccolato senza farina
 Zucchero,200,g,Torta al cioccolato senza farina
 Burro,170,g,Torta al cioccolato senza farina
 Cacao amaro in polvere,150,g,Torta al cioccolato senza farina
 Uova medie,3,pezzi,Torta al cioccolato senza farina
 Estratto di vaniglia,5,g,Torta al cioccolato senza farina
 Sale fino,3,g,Torta al cioccolato senza farina
 Zucchero a velo,qb,na,Torta al cioccolato senza farina
 Yogurt magro bianco,125,g,Pancake senza burro
 Farina 00,150,g,Pancake senza burro
 Latte intero,200,g,Pancake senza burro
 Uova (1 medio),58,g,Pancake senza burro
 Lievito in polvere per dolci,8,g,Pancake senza burro
 facoltativo,qb,na,Pancake senza burro
 Scalogno,1,pezzi,Risotto al gorgonzola
 Brodo vegetale,1,l,Risotto al gorgonzola
 Vino bianco secco,100,ml,Risotto al gorgonzola
 Burro,20,g,Risotto al gorgonzola
 Grana Padano DOP da grattugiare,30,g,Risotto al gorgonzola
 Pepe nero,qb,na,Risotto al gorgonzola
 Riso Carnaroli,350,g,Risotto al gorgonzola
 Gorgonzola,150,g,Risotto al gorgonzola
 Pisellini,1,kg,Vellutata di piselli
 Cipolle bianche,100,g,Vellutata di piselli
 Panna fresca liquida,20,g,Vellutata di piselli
 Grana Padano DOP,50,g,Vellutata di piselli
 Olio extravergine d'oliva,30,g,Vellutata di piselli
 Sale fino,qb,na,Vellutata di piselli
 Pepe nero,qb,na,Vellutata di piselli
 Brodo vegetale,400,g,Vellutata di piselli
 Mele verdi (circa 3),580,g,Frittelle di mele
 Succo di limone,1,pezzi,Frittelle di mele
 Farina 00,150,g,Frittelle di mele
 Latte intero,200,g,Frittelle di mele
 Uova,2,pezzi,Frittelle di mele
 Lievito in polvere per dolci,8,g,Frittelle di mele
 Sale fino,1,pizzico,Frittelle di mele
 Olio di semi,qb,na,Frittelle di mele
 Zucchero,30,g,Frittelle di mele
 Cannella in polvere,qb,na,Frittelle di mele
 Biscotti secchi al cioccolato,160,g,Cheesecake al cioccolato
 Burro,80,g,Cheesecake al cioccolato
 Cioccolato fondente,200,g,Cheesecake al cioccolato
 Cacao amaro in polvere,20,g,Cheesecake al cioccolato
 Ricotta di bufala,250,g,Cheesecake al cioccolato
 Formaggio fresco spalmabile,250,g,Cheesecake al cioccolato
 Amido di mais (maizena),50,g,Cheesecake al cioccolato
 Zucchero,120,g,Cheesecake al cioccolato
 Uova medie,2,pezzi,Cheesecake al cioccolato
 Baccello di vaniglia,05,Metti dell'ingrediente,Cheesecake al cioccolato
 Latte intero,200,ml,Cheesecake al cioccolato
 Panna fresca liquida,150,ml,Cheesecake al cioccolato
 Zucchero,180,g,Torta in tazza (Mug cake)
 Farina 00,160,g,Torta in tazza (Mug cake)
 Latte intero,120,g,Torta in tazza (Mug cake)
 Cioccolato bianco,75,g,Torta in tazza (Mug cake)
 Olio di semi di girasole,50,g,Torta in tazza (Mug cake)
 Cacao amaro in polvere,40,g,Torta in tazza (Mug cake)
 Uova,2,pezzi,Torta in tazza (Mug cake)
 Lievito in polvere per dolci,6,g,Torta in tazza (Mug cake)
 Tuorli,100,g,Torta Afrika
 Albumi,225,g,Torta Afrika
 Cacao amaro in polvere,90,g,Torta Afrika
 Zucchero a velo,300,g,Torta Afrika
 Fecola di patate,30,g,Torta Afrika
 Zucchero,qb,na,Torta Afrika
 Cioccolato fondente al 60% di fave africane,200,g,Torta Afrika
 Panna fresca liquida,400,g,Torta Afrika
 Frutto della passione,4,pezzi,Torta Afrika
 Mango,1,pezzi,Torta Afrika
 Scorza di lime,1,pezzi,Torta Afrika
 Succo di lime,05,Metti dell'ingrediente,Torta Afrika
 Menta,qb,na,Torta Afrika
 Granella di cioccolato,qb,na,Torta Afrika
 Spaghetti,320,g,Spaghetti con le acciughe e il pangrattato
 Acciughe sott'olio,30,g,Spaghetti con le acciughe e il pangrattato
 Olio extravergine d'oliva,20,g,Spaghetti con le acciughe e il pangrattato
 Pangrattato,70,g,Spaghetti con le acciughe e il pangrattato
 Aglio,3,spicchi,Spaghetti con le acciughe e il pangrattato
 Burro freddo,85,g,Crostata ai frutti di bosco
 Tuorli,1,pezzi,Crostata ai frutti di bosco
 Farina 00,170,g,Crostata ai frutti di bosco
 Limoni,05,Metti dell'ingrediente,Crostata ai frutti di bosco
 Zucchero a velo,70,g,Crostata ai frutti di bosco
 Latte intero,200,ml,Crostata ai frutti di bosco
 Amido di mais (maizena),25,g,Crostata ai frutti di bosco
 Tuorli tuorli,3,pezzi,Crostata ai frutti di bosco
 Zucchero,70,g,Crostata ai frutti di bosco
 Panna fresca liquida,50,ml,Crostata ai frutti di bosco
 Baccello di vaniglia,05,Metti dell'ingrediente,Crostata ai frutti di bosco
 Fragoline di bosco,125,g,Crostata ai frutti di bosco
 More,125,g,Crostata ai frutti di bosco
 Ribes rosso,125,g,Crostata ai frutti di bosco
 Mirtilli,125,g,Crostata ai frutti di bosco
 Lamponi,125,g,Crostata ai frutti di bosco
 Menta,5,foglie,Crostata ai frutti di bosco
 Rigatoni,320,g,Pasta alla zozzona
 Guanciale,200,g,Pasta alla zozzona
 Salsiccia (solo di suino),250,g,Pasta alla zozzona
 Pecorino romano da grattugiare,60,g,Pasta alla zozzona
 Pomodorini in scatola,350,g,Pasta alla zozzona
 Olio extravergine d'oliva,qb,na,Pasta alla zozzona
 Tuorli (di uova medie),4,pezzi,Pasta alla zozzona
 Pecorino romano,40,g,Pasta alla zozzona
 Confettura di albicocche,4,cucchiai,Cake pops
 Pan di Spagna,400,g,Cake pops
 Cioccolato bianco,200,g,Cake pops
 Cioccolato fondente,200,g,Cake pops
 Cocco rapi,qb,na,Cake pops
 Codette bianche,qb,na,Cake pops
 Granella di nocciole,qb,na,Cake pops
 Perline di zucchero colorate,qb,na,Cake pops
 Pennette Rigate,400,g,Pennette con salmone e vodka
 Salmone affumicato,200,g,Pennette con salmone e vodka
 Scalogno,35,g,Pennette con salmone e vodka
 Vodka,40,g,Pennette con salmone e vodka
 Pomodori,150,g,Pennette con salmone e vodka
 Panna fresca liquida,200,g,Pennette con salmone e vodka
 Erba cipollina,2,g,Pennette con salmone e vodka
 Olio extravergine d'oliva,40,g,Pennette con salmone e vodka
 Sale fino,qb,na,Pennette con salmone e vodka
 Pepe nero,qb,na,Pennette con salmone e vodka
 Spaghetti Senza Glutine,320,g,Spaghetti con crema di burrata e melanzane
 Burrata,300,g,Spaghetti con crema di burrata e melanzane
 Basilico,15,g,Spaghetti con crema di burrata e melanzane
 Olio extravergine d'oliva,50,g,Spaghetti con crema di burrata e melanzane
 Melanzane,100,g,Spaghetti con crema di burrata e melanzane
 Pinoli,30,g,Spaghetti con crema di burrata e melanzane
 Sale fino,qb,na,Spaghetti con crema di burrata e melanzane
 Pepe nero,qb,na,Spaghetti con crema di burrata e melanzane
 Olio di semi di arachide,qb,na,Spaghetti con crema di burrata e melanzane
 Basilico,qb,na,Spaghetti con crema di burrata e melanzane
 Burro,200,g,Plumcake al cioccolato
 Zucchero,200,g,Plumcake al cioccolato
 Uova (2 medie),115,g,Plumcake al cioccolato
 Miele,50,g,Plumcake al cioccolato
 Farina 00,250,g,Plumcake al cioccolato
 Lievito in polvere per dolci,10,g,Plumcake al cioccolato
 Latte intero,200,g,Plumcake al cioccolato
 Cacao amaro in polvere,25,g,Plumcake al cioccolato
 Cioccolato fondente,150,g,Plumcake al cioccolato
 Baccello di vaniglia,1,pezzi,Plumcake al cioccolato
 Zucchero a velo,qb,na,Plumcake al cioccolato
 Farina 00,180,g,Plumcake al limone
 Zucchero,160,g,Plumcake al limone
 Uova circa 3 medie,155,g,Plumcake al limone
 Burro,150,g,Plumcake al limone
 Fecola di patate,50,g,Plumcake al limone
 Succo di limone,25,g,Plumcake al limone
 Scorza di limone,2,pezzi,Plumcake al limone
 Lievito in polvere per dolci,16,g,Plumcake al limone
 Semi di papavero,7,g,Plumcake al limone
 Burro,qb,na,Plumcake al limone
 Farina 00,qb,na,Plumcake al limone
 Mascarpone,400,g,Tiramisu alle fragole
 Tuorli,3,pezzi,Tiramisu alle fragole
 Acqua,50,g,Tiramisu alle fragole
 Zucchero per lo sciroppo,125,g,Tiramisu alle fragole
 Fragole,400,g,Tiramisu alle fragole
 Savoiardi,8,pezzi,Tiramisu alle fragole
 Zucchero,20,g,Tiramisu alle fragole
 Succo di limone,20,g,Tiramisu alle fragole
 Fragole,12,pezzi,Tiramisu alle fragole
 Penne Rigate,320,g,Pasta con asparagi e pancetta
 Asparagi,700,g,Pasta con asparagi e pancetta
 Pancetta,100,g,Pasta con asparagi e pancetta
 Scalogno,1,pezzi,Pasta con asparagi e pancetta
 Sale fino,qb,na,Pasta con asparagi e pancetta
 Pepe nero,qb,na,Pasta con asparagi e pancetta
 Olio extravergine d'oliva,qb,na,Pasta con asparagi e pancetta
 Olio extravergine d'oliva,20,g,Pasta con asparagi e pancetta
 Acqua,100,g,Pasta con asparagi e pancetta
 Cacao amaro in polvere,25,g,Fette di cacao al latte
 Miele,10,g,Fette di cacao al latte
 Uova medie,4,pezzi,Fette di cacao al latte
 Zucchero,80,g,Fette di cacao al latte
 Farina 00,35,g,Fette di cacao al latte
 Baccello di vaniglia,05,Metti dell'ingrediente,Fette di cacao al latte
 Latte condensato,180,g,Fette di cacao al latte
 Panna fresca liquida,350,g,Fette di cacao al latte
 Gelatina in fogli,8,g,Fette di cacao al latte
 Miele,1,cucchiaio,Fette di cacao al latte
 Estratto di vaniglia,05,Metti dell'ingrediente,Fette di cacao al latte
 Zucchero (per l'impasto),115,g,Torta Tiramisu
 Farina 00,115,g,Torta Tiramisu
 Zucchero (per spolverizzare le basi),40,g,Torta Tiramisu
 Albumi (circa 4),120,g,Torta Tiramisu
 Tuorli (circa 4),80,g,Torta Tiramisu
 Mascarpone,800,g,Torta Tiramisu
 Zucchero,200,g,Torta Tiramisu
 Tuorli (di 4 uova medie),80,g,Torta Tiramisu
 Acqua,80,g,Torta Tiramisu
 caffe,100,g,Torta Tiramisu
 Cacao amaro in polvere,5,g,Torta Tiramisu
 Acqua a temperatura ambiente,90,g,Mini dorayaki con Nutella
 Farina 00,120,g,Mini dorayaki con Nutella
 Zucchero a velo,75,g,Mini dorayaki con Nutella
 Uova,1,pezzi,Mini dorayaki con Nutella
 Miele millefiori,10,g,Mini dorayaki con Nutella
 Olio di semi di arachide,qb,na,Mini dorayaki con Nutella
 Nutella,90,g,Mini dorayaki con Nutella
 Uova (circa 2 medie),110,g,Zuppa inglese
 Farina 00,30,g,Zuppa inglese
 Fecola di patate,30,g,Zuppa inglese
 Zucchero,60,g,Zuppa inglese
 Sale fino,1,pizzico,Zuppa inglese
 Baccello di vaniglia,05,Metti dell'ingrediente,Zuppa inglese
 Latte intero,400,g,Zuppa inglese
 Panna fresca liquida,100,g,Zuppa inglese
 Tuorli (di circa 4 uova media),72,g,Zuppa inglese
 Amido di mais (maizena),45,g,Zuppa inglese
 Zucchero,140,g,Zuppa inglese
 Baccello di vaniglia,1,pezzi,Zuppa inglese
